톤급,구간,연도,대당_편도운임_원,자료구분,출처
1톤 이하,수도권-부산권,2022 2분기,220952,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-부산권,2023 2분기,207778,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-부산권,2024 2분기,176533,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-부산권,2025 2분기,190000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-광주권,2022 2분기,174375,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-광주권,2023 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-광주권,2024 2분기,-,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-광주권,2025 2분기,-,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-대구권,2022 2분기,159000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-대구권,2023 2분기,153333,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-대구권,2024 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 이하,수도권-대구권,2025 2분기,153333,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
