station_name,search_keyword,tmap_name,address,latitude,longitude,search_status
가야,가야역,가야역[일반철도],부산 부산진구 백양대로 91,35.16139,129.04278,SUCCESS
가천,가천역,가천역,대구 수성구 천을로23길 259,35.85329305,128.69202686,SUCCESS
고명,고명역,고명역,충북 제천시 단양로10길 20-34,37.11350196,128.24125317,SUCCESS
광양,광양역,광양역,전남광주 광양시 광양읍 해광로 800,34.95629107,127.58692573,SUCCESS
괴동,괴동역,괴동역[기차역],경북 포항시 남구 대송로 208-20,35.99717851,129.37546273,SUCCESS
김천,김천역,김천역,경북 김천시 김천로 111,36.12286299,128.115237,SUCCESS
나주,나주역,나주역,전남광주 나주시 나주역길 56,35.01513076,126.71686199,SUCCESS
도담,도담역,도담역,충북 단양군 매포읍 매포길 113-10,37.02498598,128.32758134,SUCCESS
동산,동산역,동산역,전북 전주시 덕진구,35.87492852,127.08780723,SUCCESS
동해,동해역,동해역,강원 동해시 동해역길 69,37.49803013,129.12407913,SUCCESS
마산,마산역,마산역,경남 창원시 마산회원구 마산역광장로 18,35.23524952,128.57766496,SUCCESS
부산진,부산진역,부산진역,부산 동구 충장대로 255,35.1245761,129.04882132,SUCCESS
삽교,삽교역,삽교역,충남 예산군 삽교읍 삽교역로 101-14,36.68046933,126.75087164,SUCCESS
석포,석포역,석포역,경북 봉화군 석포면 석포로 134,37.04527539,129.06118186,SUCCESS
수색,수색역,수색역,서울 은평구 수색로 261-1,37.58233973,126.89394495,SUCCESS
신례원,신례원역,신례원역,충남 예산군 예산읍 신례원로212번길 19-12,36.72702123,126.84833382,SUCCESS
신창원,신창원역,신창원역[기차역],경남 창원시 의창구 차상로150번길 76,35.23358418,128.64018731,SUCCESS
신탄진,신탄진역,신탄진역,대전 대덕구 신탄진로 807,36.44989663,127.42859475,SUCCESS
쌍룡,쌍룡역,쌍룡역,강원 영월군 한반도면 용정원길 9,37.17463545,128.328438,SUCCESS
약목,약목역,약목역,경북 칠곡군 약목면 칠곡대로 635,36.03698841,128.36410623,SUCCESS
영주,영주역,영주역,경북 영주시 선비로 64,36.81140496,128.62453326,SUCCESS
오봉,오봉역,오봉역,경기 의왕시 오봉로 168,37.33595288,126.96175126,SUCCESS
의왕,의왕역,의왕역[1호선],경기 의왕시 철도박물관로 66,37.32117659,126.9488084,SUCCESS
입석리,입석리역,입석리역,충북 제천시 송학면 선돌로 144,37.19868767,128.29821778,SUCCESS
적량,적량역,적량역[기차역],전남광주 여수시 여수산단로 950,34.85594331,127.70688999,SUCCESS
전의,전의역,전의역,세종시 전의면 만세길 10,36.67856084,127.20341426,SUCCESS
진해,진해역,진해역 폐역[기차역],경남 창원시 진해구 충장로 71,35.153288,128.66024328,SUCCESS
청주,청주역,청주역,충북 청주시 흥덕구 청주역로 363,36.64648456,127.39270369,SUCCESS
태금,태금역,태금역[기차역],전남광주 광양시 제철로 1706,34.93079616,127.71524846,SUCCESS
팔당,팔당역,팔당역[경의중앙선],경기 남양주시 와부읍 팔당로 107,37.54648908,127.24327527,SUCCESS
평택,평택역,평택역[1호선],경기 평택시 평택로 51,36.99182824,127.0866384,SUCCESS
흥국사,흥국사역,흥국사역[기차역],전남광주 여수시 여수산단로 394-18,34.81683604,127.67597703,SUCCESS
