origin_station,destination_station,data_status,scheduled_train_count,train_numbers,distance_km,avg_duration_min,min_duration_min,max_duration_min,operation_days,operation_type,main_lines,route_names,schedule_cargo_types,performance_record_count,performance_years,performance_cargo_types,total_wagon_count,total_freight_ton,total_fare_won,weighted_avg_fare_per_ton_won,median_fare_per_ton_won
가야,영주,schedule_and_performance,1,3366,274.1,424,424,424,금|목|수|월|일|토|화,정기,중앙선,중앙청량리가야,"G공(포대시멘트,유류,시멘트공)",9,2023|2024|2025,사업용|일반기타,49,1358.0,16648000,12259,15081
고명,진해,schedule_and_performance,1,6613,,,,,,임시,충북선,,유리,2,2023,건설,36,864.0,18532800,21450,21450
광양,신례원,schedule_and_performance,4,3432|3434|3438|5434,285.0,346,299,387,금|목|수|월|일|토|화,임시|정기,장항선|전라선,경부장항전라|천안(장항황등)광양,철강공|철재|철재공,1016,2023|2024|2025,일반기타|철강,19757,794469.0,10195457900,12833,12623
괴동,도담,schedule_and_performance,1,3346,240.4,356,356,356,금|목|수|월|일|토|화,정기,중앙선,중앙금장나원괴동,석탄,1225,2023|2024|2025,사업용|석탄|일반기타,45872,2051655.0,21500079700,10479,10595
괴동,오봉,schedule_and_performance,2,3412|3414,402.3,488,447,529,금|목|수|월|일|토|화,정기,경부선,의왕-오봉-의왕-괴동,철재,1502,2023|2024|2025,일반기타|철강,11262,523654.0,9432812400,18013,17947
괴동,입석리,schedule_and_performance,2,3344|3350,270.0,456,420,493,금|목|수|월|일|토|화,정기,중앙선|태백선,제천-(중앙)-괴동|태백영월괴동,광재|석탄,608,2023|2024|2025,석탄,11863,522733.0,6302379200,12057,12118
김천,영주,schedule_and_performance,1,5905,,,,,,임시,경부선,,변압기,1,2024,일반기타,18,486.0,2565000,5278,5278
김천,의왕,schedule_and_performance,1,5224,,,,,,임시,경부선,,갑종,1,2023,일반기타,10,391.0,3948100,10097,10097
도담,가천,schedule_and_performance,1,3271,197.6,287,287,287,금|목|수|월|일|화,정기,중앙선,대구선,시멘트,1050,2023|2024|2025,시멘트|일반기타,12219,622110.0,6542612700,10517,10385
도담,수색,schedule_and_performance,5,3104|3222|3224|3226|5224,184.5,258,249,273,금|목|수|월|일|토|화,임시|정기,경부선|중앙선,수색-도담|일영-영천(중앙선),갑종|시멘트,1730,2023|2024|2025,시멘트|일반기타,84733,4372924.0,43680226800,9989,9895
도담,오봉,schedule_and_performance,3,3130|3140|3142,234.8,255,248,262,금|목|수|월|일|토|화,정기,충북선,충북의왕제천2,시멘트,1478,2023|2024|2025,시멘트|일반기타,45183,2346077.0,26354124000,11233,11143
동해,석포,schedule_and_performance,1,3396,70.8,99,99,99,금|목|수|월|토|화,정기,영동선,,광석,691,2023|2024|2025,광석,6667,333433.0,1199514500,3597,3656
동해,수색,schedule_and_performance,1,3228,330.3,513,513,513,목|수|월|일|화,정기,태백선,,시멘트,1,2024,사업용,1,40.0,825500,20638,20638
동해,오봉,schedule_and_performance,1,3134,380.6,535,535,535,금|목|수|월|일|토|화,정기,충북선,,시멘트,4,2025,사업용,11,220.0,2171900,9872,0
마산,영주,schedule_and_performance,1,3278,266.5,412,412,412,금|목|수|월|화,정기,중앙선,중앙제천마산,시멘트공,1,2025,사업용,1,40.0,614500,15362,15362
부산진,삽교,schedule_and_performance,2,3702|5048,385.8,411,411,411,금|수|월,부정기|임시,경부선,장항화삽교부산진,컨테이너,319,2023|2024|2025,컨테이너,5781,92613.0,1743603500,18827,19712
